,artist_name,track_name,track_id,popularity,acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
706,CloZee,Rain Dance,0sHMG3eSGv9iLvSYIgkx0X,30,0.0391,https://api.spotify.com/v1/audio-analysis/0sHMG3eSGv9iLvSYIgkx0X,0.284,252250,0.67,0.437,9,0.0859,-5.903,0,0.0408,83.988,4,https://api.spotify.com/v1/tracks/0sHMG3eSGv9iLvSYIgkx0X,audio_features,spotify:track:0sHMG3eSGv9iLvSYIgkx0X,0.0581
707,CloZee,Bloom,4LJQrMGu8pcoZC4ZYNyeFp,28,0.496,https://api.spotify.com/v1/audio-analysis/4LJQrMGu8pcoZC4ZYNyeFp,0.535,220474,0.487,0.00681,9,0.0901,-8.429,0,0.0276,87.009,4,https://api.spotify.com/v1/tracks/4LJQrMGu8pcoZC4ZYNyeFp,audio_features,spotify:track:4LJQrMGu8pcoZC4ZYNyeFp,0.149
708,Gabriel & Dresden,Only Road,7y25akgCv2cXzf6CsQ55Ae,24,0.0325,https://api.spotify.com/v1/audio-analysis/7y25akgCv2cXzf6CsQ55Ae,0.516,353493,0.845,0.849,0,0.482,-10.168,1,0.0523,119.994,4,https://api.spotify.com/v1/tracks/7y25akgCv2cXzf6CsQ55Ae,audio_features,spotify:track:7y25akgCv2cXzf6CsQ55Ae,0.174
709,Gabriel & Dresden,Free Your Mind,753PHZUFKJhWrlkDc9yfVb,28,0.101,https://api.spotify.com/v1/audio-analysis/753PHZUFKJhWrlkDc9yfVb,0.527,343120,0.717,0.389,7,0.16,-8.92,1,0.0381,119.964,4,https://api.spotify.com/v1/tracks/753PHZUFKJhWrlkDc9yfVb,audio_features,spotify:track:753PHZUFKJhWrlkDc9yfVb,0.201
710,Gabriel & Dresden,This Love Kills Me,0WIKD8AynVx3Q8uuufdrpg,22,0.013,https://api.spotify.com/v1/audio-analysis/0WIKD8AynVx3Q8uuufdrpg,0.603,283773,0.66,0.186,0,0.123,-9.16,1,0.0327,125.998,4,https://api.spotify.com/v1/tracks/0WIKD8AynVx3Q8uuufdrpg,audio_features,spotify:track:0WIKD8AynVx3Q8uuufdrpg,0.289
711,Gabriel & Dresden,Underwater,2PVm5dsSoRz2IWAhsr2Opi,20,0.0451,https://api.spotify.com/v1/audio-analysis/2PVm5dsSoRz2IWAhsr2Opi,0.595,396440,0.594,0.859,7,0.111,-10.517,0,0.0478,127.953,4,https://api.spotify.com/v1/tracks/2PVm5dsSoRz2IWAhsr2Opi,audio_features,spotify:track:2PVm5dsSoRz2IWAhsr2Opi,0.222
712,Gabriel & Dresden,Hospital Piano,0cIVOqYC53OqqR7Nn5nfBf,30,0.988,https://api.spotify.com/v1/audio-analysis/0cIVOqYC53OqqR7Nn5nfBf,0.322,162280,0.0727,0.701,9,0.0948,-24.691,0,0.0402,104.025,4,https://api.spotify.com/v1/tracks/0cIVOqYC53OqqR7Nn5nfBf,audio_features,spotify:track:0cIVOqYC53OqqR7Nn5nfBf,0.0984
713,Gabriel & Dresden,You,6xpnhnKaKx1RjM7eVKD0qp,21,0.00332,https://api.spotify.com/v1/audio-analysis/6xpnhnKaKx1RjM7eVKD0qp,0.565,369640,0.565,0.895,7,0.104,-8.277,1,0.0301,127.991,4,https://api.spotify.com/v1/tracks/6xpnhnKaKx1RjM7eVKD0qp,audio_features,spotify:track:6xpnhnKaKx1RjM7eVKD0qp,0.127
714,Gabriel & Dresden,Sequoia,2SJE3ZLJew4yVZm4Qhsup3,21,0.00522,https://api.spotify.com/v1/audio-analysis/2SJE3ZLJew4yVZm4Qhsup3,0.666,364933,0.782,0.917,8,0.373,-9.527,1,0.0375,127.998,4,https://api.spotify.com/v1/tracks/2SJE3ZLJew4yVZm4Qhsup3,audio_features,spotify:track:2SJE3ZLJew4yVZm4Qhsup3,0.23
715,Gabriel & Dresden,Over Oceans,2lCOvr8diSv3IRBwlLsKAx,32,0.0343,https://api.spotify.com/v1/audio-analysis/2lCOvr8diSv3IRBwlLsKAx,0.586,334560,0.606,0.895,7,0.367,-9.616,1,0.0294,132.037,4,https://api.spotify.com/v1/tracks/2lCOvr8diSv3IRBwlLsKAx,audio_features,spotify:track:2lCOvr8diSv3IRBwlLsKAx,0.0539
