,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
347,Mac Miller,Hurt Feelings,5p7GiBZNL1afJJDUrOA6C8,73,0.343,0.69,245640,0.462,0.00218,8,0.113,-8.054,1,0.13,157.655,4,0.325
348,NF,WHY,7rjGZWlqqeEMDrAabwZQhr,73,0.368,0.737,188990,0.77,0.0,10,0.306,-7.753,0,0.51,158.351,4,0.431
349,Camila Cabello,Never Be the Same,4eWQlBRaTjPPUlzacqEeoQ,77,0.181,0.637,226973,0.713,0.000637,0,0.137,-4.333,1,0.0747,129.923,4,0.243
350,Brytiago,Asesina - Remix,59PYgzOiOjGDzjDT5N5oOX,80,0.589,0.825,327467,0.69,0.0,10,0.413,-4.252,0,0.226,94.194,4,0.516
351,Ari Lennox,Shea Butter Baby (with J. Cole),1CVAENDG5VY05pEHh0ViXL,74,0.134,0.702,210590,0.614,0.00391,0,0.173,-4.385,1,0.0786,155.173,4,0.047
352,Luke Combs,Must've Never Met You,6ojicjDYUUoeE1tdSvfFo4,71,0.00951,0.455,198880,0.892,0.0,6,0.143,-3.218,1,0.0566,75.218,4,0.641
353,DaBaby,Walker Texas Ranger,0eBOVXdnrVQ0rITgKXBAA7,70,0.025,0.873,151600,0.682,0.0,11,0.0685,-5.869,0,0.377,157.943,4,0.799
354,Future,Hard Work Pays Off,6gzIcEUuswJQGfJNPYMjjv,72,0.327,0.736,224507,0.482,0.0,4,0.229,-8.242,1,0.196,140.064,4,0.608
355,JID,Off Deez (with J. Cole),3JAeYOjyJodI4PRs44lx2l,72,0.00207,0.836,213358,0.579,0.0,9,0.11,-6.164,1,0.243,85.486,4,0.431
356,Rich The Kid,New Freezer (feat. Kendrick Lamar),2EgB4n6XyBsuNUbuarr4eG,73,0.0405,0.884,191938,0.698,0.0,0,0.195,-9.101,1,0.364,140.068,4,0.575
357,Lil Mosey,Pull Up,6dww8y59MiIREzWonqzGOy,72,0.554,0.655,183624,0.607,0.0,7,0.115,-5.815,0,0.0862,149.033,4,0.2
358,RL Grime,UCLA,3OaunNUlXXs5e2PXtNAzzG,70,0.0742,0.536,192000,0.879,0.0,1,0.0847,-3.019,1,0.0621,140.137,4,0.334
359,Khalid,Suncity (feat. Empress Of),6SkHm6poyKfzV6kc9any8k,77,0.0998,0.694,189493,0.63,0.000635,7,0.12,-6.84,0,0.162,90.045,4,0.341
360,NOTD,I Wanna Know (feat. Bea Miller),18W92Zm1KjLCbUIszOhpkD,77,0.0253,0.661,197939,0.725,0.0,6,0.123,-4.859,1,0.0563,119.927,4,0.605
361,Jimmie Allen,Make Me Want To,0AYbVoeF03NYhM0fvKjAuU,71,0.0793,0.519,172280,0.872,0.0,2,0.111,-3.212,1,0.0616,179.965,4,0.74
362,Lil Mosey,Greet Her,35eqqYzCWQyzqxj4SI9Ywl,72,0.0593,0.75,174316,0.476,0.0,7,0.199,-7.864,0,0.0412,94.995,4,0.123
363,Alec Benjamin,Water Fountain,4IhKLu7Vk3j2TLmnFPl6To,74,0.388,0.723,218893,0.504,7.4e-05,8,0.087,-5.572,1,0.0392,133.975,4,0.551
364,Kacey Musgraves,High Horse,2U2Z1IXnmJIvlknWizFykZ,71,0.0325,0.725,213693,0.674,3.55e-06,11,0.0531,-5.254,0,0.0363,120.057,4,0.773
365,Post Malone,Zack And Codeine,5lZZmityu9TAjNvSY6GLhR,74,0.143,0.742,204360,0.84,0.0,5,0.133,-5.198,0,0.0471,138.032,4,0.287
366,Lady Gaga,Always Remember Us This Way,2rbDhOo9Fh61Bbu23T2qCk,84,0.299,0.553,210200,0.502,0.0,0,0.764,-5.972,1,0.0409,129.976,4,0.296
367,Valee,Womp Womp,1G5ho820Xi2Qu3HsBZ26ft,72,0.066,0.877,226533,0.558,0.0,1,0.0745,-4.896,1,0.342,157.027,4,0.493
368,Kacey Musgraves,Golden Hour,0pMfPzdRiPAoSM9yWF4OcT,71,0.0952,0.611,198453,0.555,0.0,6,0.11,-6.372,0,0.0274,88.969,4,0.413
369,Becky G,Sin Pijama,2ijef6ni2amuunRoKTlgww,82,0.354,0.791,188560,0.745,2.93e-05,11,0.104,-3.695,0,0.0464,94.014,4,0.82
370,Juice WRLD,Scared Of Love,49QVOdWgGagzLrThkIqtK6,72,0.032,0.642,170539,0.562,0.0,11,0.168,-4.869,0,0.0812,158.001,4,0.177
371,Clean Bandit,I Miss You (feat. Julia Michaels),0Ult84lvFuqNvbyXwyRQ58,79,0.299,0.693,205987,0.624,7.64e-06,0,0.0955,-7.482,0,0.0448,105.002,4,0.369
372,A Boogie Wit da Hoodie,Just Like Me (feat. Young Thug),0uH6JssU7mWkTT9mqeqEvL,73,0.156,0.774,220888,0.623,0.0,5,0.0955,-7.871,1,0.245,128.661,5,0.393
373,Luke Combs,"Houston, We Got a Problem",6guWjUuNYziyNXgjFo1IpF,70,0.0961,0.522,191987,0.762,6.21e-06,9,0.395,-5.059,1,0.0362,143.868,4,0.486
374,Oliver Tree,Hurt,1Xls3QHvOQ7YLB54R6BvgG,72,0.0209,0.561,145558,0.782,0.0,0,0.315,-5.863,1,0.04,94.004,4,0.486
375,Post Malone,Takin' Shots,5ffntNJnJOeFv7b7DCd0Bw,74,0.597,0.767,216747,0.625,0.0,5,0.409,-6.193,1,0.0836,120.092,4,0.577
376,Marshmello,Spotlight,6VrCmhRBFnuGKmtNfk4jDs,76,0.0145,0.546,177600,0.822,0.0,7,0.742,-4.483,1,0.151,150.06,4,0.615
377,T3R Elemento,Aerolínea Carrillo,0xYTyyfV767E2Vn3hz56kL,75,0.337,0.669,174276,0.561,0.0,1,0.198,-6.613,1,0.0318,114.405,3,0.867
378,Ariana Grande,sweetener,70khXICDeTTxgYtw3EysKH,74,0.248,0.721,208493,0.459,0.0,4,0.212,-6.408,1,0.032,119.914,4,0.46
379,Jason Aldean,Rearview Town,3yHTTHbT058Ow0favhZO38,69,0.023,0.526,184173,0.85,0.0,10,0.0948,-4.47,0,0.0313,141.973,4,0.338
380,Zedd,Happy Now,4keoy2fqgwGnbWlm3ZVZFa,81,0.579,0.503,207030,0.741,1.49e-06,4,0.0712,-5.128,1,0.047,88.335,3,0.458
381,Dierks Bentley,Burning Man,4a1oIihVt6xSnDRpgX387M,71,0.00403,0.609,238493,0.807,5.42e-06,5,0.0926,-7.221,1,0.0972,119.073,4,0.492
382,Playboi Carti,FlatBed Freestyle,5nayhWICkQGMTkisxVMbRw,71,0.0967,0.755,193973,0.552,0.0,9,0.158,-5.604,1,0.288,153.157,4,0.402
383,Bad Bunny,Estamos Bien,2OWVCFTolecLiGZPquvWvT,77,0.821,0.759,208080,0.536,4.57e-06,9,0.107,-6.663,0,0.173,119.883,4,0.439
384,21 Savage,ball w/o you,50a8bKqlwDEqeiEknrzkTO,72,0.0467,0.892,195047,0.633,0.000189,8,0.139,-7.471,1,0.0902,137.994,4,0.459
